REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND
NSW1,2022/09/19 03:00:00,6459
QLD1,2022/09/19 03:00:00,5068
SA1,2022/09/19 03:00:00,1356
TAS1,2022/09/19 03:00:00,1082
VIC1,2022/09/19 03:00:00,4433
NSW1,2022/09/19 03:30:00,6341
QLD1,2022/09/19 03:30:00,5069
SA1,2022/09/19 03:30:00,1308
TAS1,2022/09/19 03:30:00,1083
VIC1,2022/09/19 03:30:00,4389
NSW1,2022/09/19 04:00:00,6312
QLD1,2022/09/19 04:00:00,5081
SA1,2022/09/19 04:00:00,1291
TAS1,2022/09/19 04:00:00,1083
VIC1,2022/09/19 04:00:00,4370
NSW1,2022/09/19 04:30:00,6358
QLD1,2022/09/19 04:30:00,5167
SA1,2022/09/19 04:30:00,1258
TAS1,2022/09/19 04:30:00,1094
VIC1,2022/09/19 04:30:00,4386
NSW1,2022/09/19 05:00:00,6481
QLD1,2022/09/19 05:00:00,5270
SA1,2022/09/19 05:00:00,1265
TAS1,2022/09/19 05:00:00,1119
VIC1,2022/09/19 05:00:00,4459
NSW1,2022/09/19 05:30:00,6816
QLD1,2022/09/19 05:30:00,5427
SA1,2022/09/19 05:30:00,1270
TAS1,2022/09/19 05:30:00,1149
VIC1,2022/09/19 05:30:00,4640
NSW1,2022/09/19 06:00:00,7140
QLD1,2022/09/19 06:00:00,5586
SA1,2022/09/19 06:00:00,1321
TAS1,2022/09/19 06:00:00,1179
VIC1,2022/09/19 06:00:00,4881
NSW1,2022/09/19 06:30:00,7659
QLD1,2022/09/19 06:30:00,5771
SA1,2022/09/19 06:30:00,1339
TAS1,2022/09/19 06:30:00,1251
VIC1,2022/09/19 06:30:00,5309
NSW1,2022/09/19 07:00:00,7990
QLD1,2022/09/19 07:00:00,5766
SA1,2022/09/19 07:00:00,1472
TAS1,2022/09/19 07:00:00,1317
VIC1,2022/09/19 07:00:00,5618
NSW1,2022/09/19 07:30:00,8018
QLD1,2022/09/19 07:30:00,5698
SA1,2022/09/19 07:30:00,1533
TAS1,2022/09/19 07:30:00,1349
VIC1,2022/09/19 07:30:00,5794
NSW1,2022/09/19 08:00:00,7988
QLD1,2022/09/19 08:00:00,5474
SA1,2022/09/19 08:00:00,1546
TAS1,2022/09/19 08:00:00,1357
VIC1,2022/09/19 08:00:00,5818
NSW1,2022/09/19 08:30:00,7823
QLD1,2022/09/19 08:30:00,5200
SA1,2022/09/19 08:30:00,1461
TAS1,2022/09/19 08:30:00,1322
VIC1,2022/09/19 08:30:00,5649
NSW1,2022/09/19 09:00:00,7428
QLD1,2022/09/19 09:00:00,4950
SA1,2022/09/19 09:00:00,1328
TAS1,2022/09/19 09:00:00,1274
VIC1,2022/09/19 09:00:00,5418
NSW1,2022/09/19 09:30:00,7155
QLD1,2022/09/19 09:30:00,4671
SA1,2022/09/19 09:30:00,1160
TAS1,2022/09/19 09:30:00,1230
VIC1,2022/09/19 09:30:00,5091
NSW1,2022/09/19 10:00:00,6787
QLD1,2022/09/19 10:00:00,4457
SA1,2022/09/19 10:00:00,997
TAS1,2022/09/19 10:00:00,1185
VIC1,2022/09/19 10:00:00,4868
NSW1,2022/09/19 10:30:00,6407
QLD1,2022/09/19 10:30:00,4336
SA1,2022/09/19 10:30:00,898
TAS1,2022/09/19 10:30:00,1146
VIC1,2022/09/19 10:30:00,4807
NSW1,2022/09/19 11:00:00,6037
QLD1,2022/09/19 11:00:00,4280
SA1,2022/09/19 11:00:00,766
TAS1,2022/09/19 11:00:00,1115
VIC1,2022/09/19 11:00:00,4601
NSW1,2022/09/19 11:30:00,5824
QLD1,2022/09/19 11:30:00,4198
SA1,2022/09/19 11:30:00,670
TAS1,2022/09/19 11:30:00,1097
VIC1,2022/09/19 11:30:00,4641
NSW1,2022/09/19 12:00:00,5700
QLD1,2022/09/19 12:00:00,4192
SA1,2022/09/19 12:00:00,595
TAS1,2022/09/19 12:00:00,1057
VIC1,2022/09/19 12:00:00,4754
NSW1,2022/09/19 12:30:00,5670
QLD1,2022/09/19 12:30:00,4201
SA1,2022/09/19 12:30:00,509
TAS1,2022/09/19 12:30:00,1039
VIC1,2022/09/19 12:30:00,4810
NSW1,2022/09/19 13:00:00,5663
QLD1,2022/09/19 13:00:00,4256
SA1,2022/09/19 13:00:00,491
TAS1,2022/09/19 13:00:00,1019
VIC1,2022/09/19 13:00:00,4762
NSW1,2022/09/19 13:30:00,5674
QLD1,2022/09/19 13:30:00,4331
SA1,2022/09/19 13:30:00,461
TAS1,2022/09/19 13:30:00,1034
VIC1,2022/09/19 13:30:00,4741
NSW1,2022/09/19 14:00:00,5751
QLD1,2022/09/19 14:00:00,4519
SA1,2022/09/19 14:00:00,410
TAS1,2022/09/19 14:00:00,1037
VIC1,2022/09/19 14:00:00,4837
NSW1,2022/09/19 14:30:00,5904
QLD1,2022/09/19 14:30:00,4797
SA1,2022/09/19 14:30:00,431
TAS1,2022/09/19 14:30:00,1038
VIC1,2022/09/19 14:30:00,4932
NSW1,2022/09/19 15:00:00,6119
QLD1,2022/09/19 15:00:00,5141
SA1,2022/09/19 15:00:00,497
TAS1,2022/09/19 15:00:00,1037
VIC1,2022/09/19 15:00:00,4963
NSW1,2022/09/19 15:30:00,6431
QLD1,2022/09/19 15:30:00,5574
SA1,2022/09/19 15:30:00,551
TAS1,2022/09/19 15:30:00,1042
VIC1,2022/09/19 15:30:00,5184
NSW1,2022/09/19 16:00:00,6897
QLD1,2022/09/19 16:00:00,5964
SA1,2022/09/19 16:00:00,633
TAS1,2022/09/19 16:00:00,1057
VIC1,2022/09/19 16:00:00,5319
NSW1,2022/09/19 16:30:00,7326
QLD1,2022/09/19 16:30:00,6329
SA1,2022/09/19 16:30:00,772
TAS1,2022/09/19 16:30:00,1100
VIC1,2022/09/19 16:30:00,5478
NSW1,2022/09/19 17:00:00,7857
QLD1,2022/09/19 17:00:00,6701
SA1,2022/09/19 17:00:00,941
TAS1,2022/09/19 17:00:00,1158
VIC1,2022/09/19 17:00:00,5728
NSW1,2022/09/19 17:30:00,8370
QLD1,2022/09/19 17:30:00,6926
SA1,2022/09/19 17:30:00,1146
TAS1,2022/09/19 17:30:00,1214
VIC1,2022/09/19 17:30:00,6087
NSW1,2022/09/19 18:00:00,8934
QLD1,2022/09/19 18:00:00,7041
SA1,2022/09/19 18:00:00,1341
TAS1,2022/09/19 18:00:00,1258
VIC1,2022/09/19 18:00:00,6427
NSW1,2022/09/19 18:30:00,9372
QLD1,2022/09/19 18:30:00,7137
SA1,2022/09/19 18:30:00,1538
TAS1,2022/09/19 18:30:00,1306
VIC1,2022/09/19 18:30:00,6596
NSW1,2022/09/19 19:00:00,9529
QLD1,2022/09/19 19:00:00,7168
SA1,2022/09/19 19:00:00,1676
TAS1,2022/09/19 19:00:00,1336
VIC1,2022/09/19 19:00:00,6852
NSW1,2022/09/19 19:30:00,9318
QLD1,2022/09/19 19:30:00,6999
SA1,2022/09/19 19:30:00,1757
TAS1,2022/09/19 19:30:00,1319
VIC1,2022/09/19 19:30:00,6772
NSW1,2022/09/19 20:00:00,9079
QLD1,2022/09/19 20:00:00,6837
SA1,2022/09/19 20:00:00,1740
TAS1,2022/09/19 20:00:00,1294
VIC1,2022/09/19 20:00:00,6594
NSW1,2022/09/19 20:30:00,8927
QLD1,2022/09/19 20:30:00,6838
SA1,2022/09/19 20:30:00,1737
TAS1,2022/09/19 20:30:00,1280
VIC1,2022/09/19 20:30:00,6431
NSW1,2022/09/19 21:00:00,8766
QLD1,2022/09/19 21:00:00,6746
SA1,2022/09/19 21:00:00,1731
TAS1,2022/09/19 21:00:00,1269
VIC1,2022/09/19 21:00:00,6248
NSW1,2022/09/19 21:30:00,8536
QLD1,2022/09/19 21:30:00,6504
SA1,2022/09/19 21:30:00,1689
TAS1,2022/09/19 21:30:00,1236
VIC1,2022/09/19 21:30:00,6100
NSW1,2022/09/19 22:00:00,8402
QLD1,2022/09/19 22:00:00,6368
SA1,2022/09/19 22:00:00,1656
TAS1,2022/09/19 22:00:00,1204
VIC1,2022/09/19 22:00:00,5894
NSW1,2022/09/19 22:30:00,8412
QLD1,2022/09/19 22:30:00,6193
SA1,2022/09/19 22:30:00,1604
TAS1,2022/09/19 22:30:00,1171
VIC1,2022/09/19 22:30:00,5722
NSW1,2022/09/19 23:00:00,8273
QLD1,2022/09/19 23:00:00,6013
SA1,2022/09/19 23:00:00,1548
TAS1,2022/09/19 23:00:00,1133
VIC1,2022/09/19 23:00:00,5508
NSW1,2022/09/19 23:30:00,8140
QLD1,2022/09/19 23:30:00,5948
SA1,2022/09/19 23:30:00,1508
TAS1,2022/09/19 23:30:00,1104
VIC1,2022/09/19 23:30:00,5499
NSW1,2022/09/20 00:00:00,8007
QLD1,2022/09/20 00:00:00,5789
SA1,2022/09/20 00:00:00,1567
TAS1,2022/09/20 00:00:00,1073
VIC1,2022/09/20 00:00:00,5421
NSW1,2022/09/20 00:30:00,7887
QLD1,2022/09/20 00:30:00,5524
SA1,2022/09/20 00:30:00,1549
TAS1,2022/09/20 00:30:00,1073
VIC1,2022/09/20 00:30:00,5186
NSW1,2022/09/20 01:00:00,7747
QLD1,2022/09/20 01:00:00,5402
SA1,2022/09/20 01:00:00,1559
TAS1,2022/09/20 01:00:00,1061
VIC1,2022/09/20 01:00:00,5015
NSW1,2022/09/20 01:30:00,7547
QLD1,2022/09/20 01:30:00,5360
SA1,2022/09/20 01:30:00,1525
TAS1,2022/09/20 01:30:00,1044
VIC1,2022/09/20 01:30:00,4878
NSW1,2022/09/20 02:00:00,7351
QLD1,2022/09/20 02:00:00,5229
SA1,2022/09/20 02:00:00,1463
TAS1,2022/09/20 02:00:00,1032
VIC1,2022/09/20 02:00:00,4733
NSW1,2022/09/20 02:30:00,7092
QLD1,2022/09/20 02:30:00,5202
SA1,2022/09/20 02:30:00,1437
TAS1,2022/09/20 02:30:00,1025
VIC1,2022/09/20 02:30:00,4573
NSW1,2022/09/20 03:00:00,6886
QLD1,2022/09/20 03:00:00,5168
SA1,2022/09/20 03:00:00,1393
TAS1,2022/09/20 03:00:00,1019
VIC1,2022/09/20 03:00:00,4495
NSW1,2022/09/20 03:30:00,6742
QLD1,2022/09/20 03:30:00,5121
SA1,2022/09/20 03:30:00,1356
TAS1,2022/09/20 03:30:00,1020
VIC1,2022/09/20 03:30:00,4464
NSW1,2022/09/20 04:00:00,6690
QLD1,2022/09/20 04:00:00,5131
SA1,2022/09/20 04:00:00,1324
TAS1,2022/09/20 04:00:00,1023
